id,year,company,country,industry_group,weight_kg,carbon_footprint_pcf,upstream_percent_total_pcf,operations_percent_total_pcf,downstream_percent_total_pcf
12134 8 2017,2017,"Mitsubishi Gas Chemical Company, Inc.",Japan,Materials,12000,99075,64.95%,34.40%,0.66%
12289 1 2017,2017,"Mitsui Mining & Smelting Co., Ltd.",Japan,Capital Goods,20,5.6724,null,null,null
12348 1 2013,2013,Molson Coors Brewing Company,USA,"Food, Beverage & Tobacco",100,31.37,null,null,null
12348 2 2013,2013,Molson Coors Brewing Company,USA,"Food, Beverage & Tobacco",12.029,3.02,null,null,null
12348 2 2014,2014,Molson Coors Brewing Company,USA,"Food, Beverage & Tobacco",12.029,3.07,null,null,null
12348 3 2013,2013,Molson Coors Brewing Company,USA,"Food, Beverage & Tobacco",15.53,2.06,null,null,null
12348 3 2014,2014,Molson Coors Brewing Company,USA,"Food, Beverage & Tobacco",15.53,2.0519,null,null,null
12348 4 2014,2014,Molson Coors Brewing Company,USA,"Food, Beverage & Tobacco",13.67,3.732,64.93%,28.58%,6.49%
12903 1 2015,2015,NEC Corporation,Japan,Technology Hardware & Equipment,19.28,1600,5.40%,2.06%,92.54%
12903 2 2015,2015,NEC Corporation,Japan,Technology Hardware & Equipment,0.816,56,null,null,null
12903 3 2015,2015,NEC Corporation,Japan,Technology Hardware & Equipment,19.28,10273,1.83%,0.70%,97.48%
12942 1 2013,2013,Nestle,Switzerland,"Food, Beverage & Tobacco",0.1,0.07,24.43%,16.03%,59.54%
12942 1 2014,2014,Nestle,Switzerland,"Food, Beverage & Tobacco",0.1,0.032,null,null,null
12942 1 2015,2015,Nestle,Switzerland,Food & Beverage Processing,0.1,0.032,null,null,null
12942 1 2016,2016,Nestle,Switzerland,"Food, Beverage & Tobacco",0.12,0.052,49.61%,11.05%,39.34%
12942 2 2013,2013,Nestle,Switzerland,"Food, Beverage & Tobacco",0.54167,0.1405,45.88%,4.92%,49.20%
12942 2 2014,2014,Nestle,Switzerland,"Food, Beverage & Tobacco",0.54167,0.1405,45.75%,4.91%,49.34%
12942 2 2015,2015,Nestle,Switzerland,Food & Beverage Processing,0.54167,0.1405,45.75%,4.91%,49.34%
12942 2 2016,2016,Nestle,Switzerland,"Food, Beverage & Tobacco",0.54167,0.1405,45.75%,4.91%,49.34%
12942 3 2013,2013,Nestle,Switzerland,"Food, Beverage & Tobacco",0.02,0.184,44.02%,7.61%,48.37%
17659 2 2014,2014,"Staples, Inc.",USA,Retailing,0.8172,8.38,78.45%,5.26%,16.29%
12942 4 2013,2013,Nestle,Switzerland,"Food, Beverage & Tobacco",0.02,0.143,56.64%,13.29%,30.07%
12942 5 2013,2013,Nestle,Switzerland,"Food, Beverage & Tobacco",0.02,0.125,64.80%,11.20%,24.00%
13360 1 2013,2013,Nokia Group,Finland,Technology Hardware & Equipment,0.218,12,54.17%,4.17%,41.67%
13360 1 2014,2014,Nokia Group,Finland,Technology Hardware & Equipment,0.218,12,54.17%,4.17%,41.67%
13360 2 2013,2013,Nokia Group,Finland,Technology Hardware & Equipment,0.142,16,65.43%,3.70%,30.86%
13360 3 2013,2013,Nokia Group,Finland,Technology Hardware & Equipment,0.085,8,37.83%,7.09%,55.08%
13889 10 2017,2017,OMRON Corporation,Japan,Technology Hardware & Equipment,1.06,7.5,null,null,null
13889 11 2017,2017,OMRON Corporation,Japan,Technology Hardware & Equipment,1.34,86.2,null,null,null
13889 1 2014,2014,OMRON Corporation,Japan,Technology Hardware & Equipment,0.5448,28.2,null,null,null
13889 12 2017,2017,OMRON Corporation,Japan,Technology Hardware & Equipment,0.45,9,null,null,null
13889 13 2017,2017,OMRON Corporation,Japan,Technology Hardware & Equipment,0.42,1.617,null,null,null
13889 14 2017,2017,OMRON Corporation,Japan,Technology Hardware & Equipment,0.25,0.069,null,null,null
13889 2 2014,2014,OMRON Corporation,Japan,Technology Hardware & Equipment,0.112,8.96,null,null,null
13889 4 2014,2014,OMRON Corporation,Japan,Technology Hardware & Equipment,0.0028,0.145,null,null,null
13889 5 2017,2017,OMRON Corporation,Japan,Technology Hardware & Equipment,0.034,3.3,null,null,null
13889 6 2017,2017,OMRON Corporation,Japan,Technology Hardware & Equipment,0.034,1.1,null,null,null
13889 7 2017,2017,OMRON Corporation,Japan,Technology Hardware & Equipment,0.034,0.6,null,null,null
13889 8 2017,2017,OMRON Corporation,Japan,Technology Hardware & Equipment,0.25,28.2,null,null,null
13889 9 2017,2017,OMRON Corporation,Japan,Technology Hardware & Equipment,1.06,7.5,null,null,null
14021 1 2013,2013,"Osaka Gas Co., Ltd.",Japan,Utilities,1.062,60.58,12.51%,2.69%,84.80%
14021 1 2015,2015,"Osaka Gas Co., Ltd.",Japan,Gas Utilities,1.062,60.58,12.51%,2.69%,84.80%
14021 1 2016,2016,"Osaka Gas Co., Ltd.",Japan,Utilities,1.062,60.64,12.34%,1.19%,86.48%
14605 1 2013,2013,"PepsiCo, Inc.",USA,"Food, Beverage & Tobacco",0.0325,0.08,null,null,null
14605 1 2014,2014,"PepsiCo, Inc.",USA,"Food, Beverage & Tobacco",0.0325,0.08,null,null,null
14605 1 2015,2015,"PepsiCo, Inc.",USA,Food & Beverage Processing,0.0325,0.08,null,null,null
14605 2 2013,2013,"PepsiCo, Inc.",USA,"Food, Beverage & Tobacco",0.05,0.12,null,null,null
14605 2 2014,2014,"PepsiCo, Inc.",USA,"Food, Beverage & Tobacco",0.05,0.12,null,null,null
14605 2 2015,2015,"PepsiCo, Inc.",USA,Food & Beverage Processing,0.05,0.12,null,null,null
14605 3 2013,2013,"PepsiCo, Inc.",USA,"Food, Beverage & Tobacco",0.04,0.07,null,null,null
14605 3 2014,2014,"PepsiCo, Inc.",USA,"Food, Beverage & Tobacco",0.04,0.07,null,null,null
14605 3 2015,2015,"PepsiCo, Inc.",USA,Food & Beverage Processing,0.04,0.07,null,null,null
14605 4 2013,2013,"PepsiCo, Inc.",USA,"Food, Beverage & Tobacco",0.324,0.65,null,null,null
14605 4 2014,2014,"PepsiCo, Inc.",USA,"Food, Beverage & Tobacco",0.324,0.65,null,null,null
14605 4 2015,2015,"PepsiCo, Inc.",USA,Food & Beverage Processing,0.324,0.65,null,null,null
14697 1 2013,2013,Philips & Lite On Digital Solutions Corp.,Taiwan,Technology Hardware & Equipment,0.0907185,25.5,null,null,null
149 1 2013,2013,Acbel Polytech Inc,Taiwan,Technology Hardware & Equipment,1.8,244.09,43.69%,46.44%,9.87%
15391 1 2013,2013,Quanta Storage Inc.,China,Technology Hardware & Equipment,0.0907185,1.62,null,null,null
15391 1 2014,2014,Quanta Storage Inc.,China,Technology Hardware & Equipment,0.0907185,12,null,null,null
15398 10 2014,2014,Qisda,Taiwan,Technology Hardware & Equipment,6.3,33.31,98.38%,1.38%,0.24%
15398 11 2014,2014,Qisda,Taiwan,Technology Hardware & Equipment,2.8,88.96,87.70%,12.06%,0.24%
15398 1 2013,2013,Qisda,Taiwan,Technology Hardware & Equipment,2.4,70.02,98.40%,1.29%,0.31%
15398 12 2014,2014,Qisda,Taiwan,Technology Hardware & Equipment,0.31,19.38,88.18%,11.71%,0.10%
15398 13 2015,2015,Qisda,Taiwan,Technology Hardware & Equipment,7.4,66.19,97.21%,2.24%,0.56%
15398 13 2016,2016,Qisda,Taiwan,Technology Hardware & Equipment,5.8,74.83,97.06%,1.56%,1.38%
15398 14 2015,2015,Qisda,Taiwan,Technology Hardware & Equipment,3.4,83.18,98.41%,1.27%,0.31%
15398 14 2016,2016,Qisda,Taiwan,Technology Hardware & Equipment,4.4,99.68,97.26%,2.41%,0.33%
15398 15 2015,2015,Qisda,Taiwan,Technology Hardware & Equipment,0.35,53.36,99.40%,0.06%,0.54%
15398 15 2016,2016,Qisda,Taiwan,Technology Hardware & Equipment,0.35,16.21,99.38%,0.43%,0.19%
15398 16 2015,2015,Qisda,Taiwan,Technology Hardware & Equipment,8.2,69.12,82.96%,16.88%,0.16%
15398 16 2016,2016,Qisda,Taiwan,Technology Hardware & Equipment,5.8,24.04,90.10%,9.57%,0.33%
15398 17 2015,2015,Qisda,Taiwan,Technology Hardware & Equipment,14.2,146.41,96.88%,2.70%,0.42%
15398 18 2016,2016,Qisda,Taiwan,Technology Hardware & Equipment,7,66.16,89.48%,10.02%,0.50%
15398 2 2013,2013,Qisda,Taiwan,Technology Hardware & Equipment,7.5,182.927,99.17%,0.52%,0.31%
15398 3 2013,2013,Qisda,Taiwan,Technology Hardware & Equipment,0.11,18.756,69.15%,30.81%,0.04%
15398 4 2013,2013,Qisda,Taiwan,Technology Hardware & Equipment,0.8,25.517,98.43%,1.33%,0.24%
15398 5 2013,2013,Qisda,Taiwan,Technology Hardware & Equipment,1.4,20.886,95.47%,4.52%,0.01%
15398 6 2014,2014,Qisda,Taiwan,Technology Hardware & Equipment,11,105.56,96.47%,3.01%,0.52%
15398 7 2014,2014,Qisda,Taiwan,Technology Hardware & Equipment,23,174.46,96.89%,1.71%,1.39%
15398 8 2014,2014,Qisda,Taiwan,Technology Hardware & Equipment,0.7,25.72,97.20%,2.60%,0.19%
15398 9 2014,2014,Qisda,Taiwan,Technology Hardware & Equipment,0.162,6.13,90.38%,8.81%,0.82%
15673 1 2013,2013,BlackBerry Limited,Canada,Telecommunication Services,0.13,52.2,44.18%,16.85%,38.96%
15673 2 2014,2014,BlackBerry Limited,Canada,Technology Hardware & Equipment,0.1375,57.1,45.69%,17.43%,36.88%
15673 3 2015,2015,BlackBerry Limited,Canada,Technology Hardware & Equipment,0.205,65.1,43.73%,16.68%,39.59%
15673 3 2016,2016,BlackBerry Limited,Canada,Technology Hardware & Equipment,0.205,65.1,43.73%,16.68%,39.59%
15673 4 2016,2016,BlackBerry Limited,Canada,Technology Hardware & Equipment,0.178,62.8,44.03%,16.79%,39.17%
15673 5 2016,2016,BlackBerry Limited,Canada,Technology Hardware & Equipment,0.192,79.9,45.13%,17.21%,37.66%
15763 10 2017,2017,"Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,33,1640,7.73%,2.12%,90.15%
15763 1 2013,2013,"Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,214,2400,null,null,null
15763 2 2013,2013,"Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,130,2100,null,null,null
15763 3 2013,2013,"Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,73,1297,null,null,null
15763 4 2013,2013,"Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,97,3210,null,null,null
15763 5 2013,2013,"Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,550,7368,null,null,null
15763 6 2014,2014,"Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,99.9,1940,null,null,null
15763 7 2014,2014,"Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,241,6140,null,null,null
15763 8 2015,2015,"Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,74,1330,null,null,null
15763 9 2015,2015,"Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,600,8080,null,null,null
16290 1 2013,2013,Sappi,South Africa,Materials,1000,968,null,null,null
16290 1 2014,2014,Sappi,South Africa,Materials,1000,1031.6,30.17%,69.83%,0.00%
16290 2 2013,2013,Sappi,South Africa,Materials,1000,949,null,null,null
16290 2 2014,2014,Sappi,South Africa,Materials,1000,1042.8,30.92%,69.08%,0.00%
16290 3 2013,2013,Sappi,South Africa,Materials,1000,1033,null,null,null
16290 3 2014,2014,Sappi,South Africa,Materials,1000,1060.9,32.10%,67.90%,0.00%
16290 4 2013,2013,Sappi,South Africa,Materials,1000,973,null,null,null
16290 4 2014,2014,Sappi,South Africa,Materials,1000,1082.6,33.46%,66.54%,0.00%
16423 1 2013,2013,Schneider Electric,France,Capital Goods,0.21,19.1,6.68%,1.44%,91.88%
16423 1 2014,2014,Schneider Electric,France,Capital Goods,0.21,19.1,6.68%,1.44%,91.88%
16423 1 2015,2015,Schneider Electric,France,Electrical Equipment and Machinery,0.21,19.1,6.68%,1.44%,91.88%
16423 2 2016,2016,Schneider Electric,France,Capital Goods,0.21,61.23,1.92%,0.41%,97.66%
17280 1 2013,2013,Smurfit Kappa Group PLC,Ireland,Materials,1000,746,87.01%,12.99%,0.00%
17280 1 2014,2014,Smurfit Kappa Group PLC,Ireland,Materials,1000,746,87.01%,12.99%,0.00%
17280 1 2015,2015,Smurfit Kappa Group PLC,Ireland,Containers & Packaging,1000,746,87.01%,12.99%,0.00%
17280 2 2013,2013,Smurfit Kappa Group PLC,Ireland,Materials,1000,964,87.01%,12.99%,0.00%
17280 2 2014,2014,Smurfit Kappa Group PLC,Ireland,Materials,1000,964,87.01%,12.99%,0.00%
17280 2 2015,2015,Smurfit Kappa Group PLC,Ireland,Containers & Packaging,1000,964,87.01%,12.99%,0.00%
17296 1 2014,2014,Solvay S.A.,Belgium,Materials,1,1.32,1.52%,98.48%,0.00%
17296 2 2014,2014,Solvay S.A.,Belgium,Materials,1,1.1,0.91%,99.09%,0.00%
17296 2 2015,2015,Solvay S.A.,Belgium,Chemicals,1,1.01,9.90%,90.10%,0.00%
17296 2 2016,2016,Solvay S.A.,Belgium,Materials,1,1.01,null,null,null
17296 3 2015,2015,Solvay S.A.,Belgium,Chemicals,1,1.29,10.85%,89.15%,0.00%
17296 3 2016,2016,Solvay S.A.,Belgium,Materials,1,1.29,null,null,null
17296 4 2015,2015,Solvay S.A.,Belgium,Chemicals,1,1.19,10.92%,89.08%,0.00%
17296 4 2016,2016,Solvay S.A.,Belgium,Materials,1,1.19,null,null,null
17659 1 2014,2014,"Staples, Inc.",USA,Retailing,0.8172,2.526,71.85%,7.62%,20.53%
17659 1 2015,2015,"Staples, Inc.",USA,Retailing,0.8172,2.526,71.85%,7.62%,20.53%
17659 2 2015,2015,"Staples, Inc.",USA,Retailing,0.8172,8.38,78.45%,5.26%,16.29%
17673 1 2015,2015,"Stanley Black & Decker, Inc.",USA,Electrical Equipment and Machinery,1.82,55.67,null,null,null
17673 1 2016,2016,"Stanley Black & Decker, Inc.",USA,Capital Goods,1.82,55.67,null,null,null
17673 2 2015,2015,"Stanley Black & Decker, Inc.",USA,Electrical Equipment and Machinery,2.7,88.13,null,null,null
17673 2 2016,2016,"Stanley Black & Decker, Inc.",USA,Capital Goods,2.7,88.13,null,null,null
17673 3 2016,2016,"Stanley Black & Decker, Inc.",USA,Capital Goods,0.5,2.15,78.19%,16.84%,4.97%
17788 10 2016,2016,Steelcase,USA,Commercial & Professional Services,13.05,23,null,null,null
17788 11 2016,2016,Steelcase,USA,Commercial & Professional Services,51.7,150,null,null,null
17788 1 2013,2013,Steelcase,USA,Commercial & Professional Services,19.773,120,null,null,null
17788 1 2014,2014,Steelcase,USA,Commercial & Professional Services,19.773,120,null,null,null
17788 12 2016,2016,Steelcase,USA,Commercial & Professional Services,6.165,29,null,null,null
17788 13 2016,2016,Steelcase,USA,Commercial & Professional Services,32.916,94,null,null,null
17788 16 2016,2016,Steelcase,USA,Commercial & Professional Services,154.804,380,null,null,null
17788 17 2016,2016,Steelcase,USA,Commercial & Professional Services,35.331,71.8,null,null,null
17788 18 2016,2016,Steelcase,USA,Commercial & Professional Services,35.38,170,null,null,null
17788 19 2016,2016,Steelcase,USA,Commercial & Professional Services,35.38,180,null,null,null
17788 20 2016,2016,Steelcase,USA,Commercial & Professional Services,35.298,98,null,null,null
17788 21 2016,2016,Steelcase,USA,Commercial & Professional Services,37,51.5,null,null,null
17788 2 2013,2013,Steelcase,USA,Commercial & Professional Services,44.706,160,null,null,null
17788 2 2014,2014,Steelcase,USA,Commercial & Professional Services,44.706,160,null,null,null
17788 22 2016,2016,Steelcase,USA,Commercial & Professional Services,26.183,87.8,null,null,null
17788 23 2016,2016,Steelcase,USA,Commercial & Professional Services,25,120,null,null,null
17788 24 2016,2016,Steelcase,USA,Commercial & Professional Services,38.337,39.6,null,null,null
17788 25 2016,2016,Steelcase,USA,Commercial & Professional Services,31,110,null,null,null
17788 26 2016,2016,Steelcase,USA,Commercial & Professional Services,40.9,95,null,null,null
17788 27 2016,2016,Steelcase,USA,Commercial & Professional Services,14.963,60,null,null,null
20822 2 2014,2014,Xerox Corporation,USA,Technology Hardware & Equipment,46.308,2445,1.60%,27.72%,70.69%
17788 28 2016,2016,Steelcase,USA,Commercial & Professional Services,23.623,90.9,null,null,null
17788 29 2016,2016,Steelcase,USA,Commercial & Professional Services,5.17,56,null,null,null
17788 30 2016,2016,Steelcase,USA,Commercial & Professional Services,17.7,101,null,null,null
17788 3 2013,2013,Steelcase,USA,Commercial & Professional Services,52.221,110.8,null,null,null
17788 3 2014,2014,Steelcase,USA,Commercial & Professional Services,52.221,110.8,null,null,null
17788 32 2016,2016,Steelcase,USA,Commercial & Professional Services,67.323,52.6,null,null,null
17788 33 2016,2016,Steelcase,USA,Commercial & Professional Services,47.334,49.7,null,null,null
17788 34 2016,2016,Steelcase,USA,Commercial & Professional Services,69.78,103.8,null,null,null
17788 36 2016,2016,Steelcase,USA,Commercial & Professional Services,5.057,18.8,null,null,null
17788 4 2013,2013,Steelcase,USA,Commercial & Professional Services,17.252,85.5,null,null,null
